web_scraper_order,web_scraper_start_url,container_link,type_habits,prix,adresse,image_lien
"1771103995-59","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/dialab-pour-homme-5214586","Dialab pour homme","10 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5214586_uploaded_image1_1741111877.jpg"
"1771103998-60","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/dialab-blanc-5214602","Dialab blanc","7 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5214602_uploaded_image1_1741112218.jpg"
"1771104000-61","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/vetement-homme-5261960","Vêtement homme","12 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4919075_uploaded_image1_1725059650.jpg"
"1771104003-62","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5264516","Ensemble homme","17 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_5264516_uploaded_image1_1743722045.jpg"
"1771104005-63","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/t-shirts-unique-5267727","T-shirts unique","3 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5658191_uploaded_image1_1764973421.jpg"
"1771104008-64","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/dialabe-pour-homme-anfna-5226125","Dialabé pour homme anfna","7 500 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5226125_uploaded_image1_1741685568.jpg"
"1771104010-65","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/t-shirts-tcp-5271254","T-shirts TCP","7 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5271254_uploaded_image1_1744089163.jpg"
"1771104013-66","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/boxers-5272210","Boxers","1 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5272210_uploaded_image1_1744125601.jpg"
"1771104015-67","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-homme-5272402","Pantalon  homme","10 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5272402_uploaded_image1_1744132936.jpg"
"1771104017-68","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5273496","Vêtements homme","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4036356_uploaded_image1_1672943814.jpg"
"1771104020-69","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-nike-tech-5274649","Ensemble Nike Tech","40 000 CFA","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_5588318_uploaded_image1_1761262014.jpg"
"1771104022-70","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/boubou-5275497","Boubou","110 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5275497_uploaded_image1_1744293030.jpg"
"1771104025-71","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/vetmemt-traditionel-homme-5232019","Vetmemt traditionel homme","20 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5232019_uploaded_image1_1741958189.jpg"
"1771104027-72","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/dialaba-5233345","Dialaba","15 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5340703_uploaded_image1_1747926660.jpg"
"1771104030-73","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-jeans-5278626","Pantalon jeans","30 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5278626_uploaded_image1_1744464626.jpg"
"1771104032-74","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-homme-5235214","Lacoste  homme","7 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5235214_uploaded_image1_1742160264.jpg"
"1771104035-75","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5282400","Vêtements homme","5 000 CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_4601964_uploaded_image1_1708395686.jpg"
"1771104037-76","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/costume-africain-5289487","Costume africain","15 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_5547717_uploaded_image1_1759098205.jpg"
"1771104039-77","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/bazin-riche-3-pieces-5290090","Bazin Riche 3 Pièces","70 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_5290090_uploaded_image2_1745148278.jpeg"
"1771104042-78","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/pulls-5291801","Pulls","8 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5291801_uploaded_image1_1745269197.jpg"
"1771104044-79","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/sous-vetement-coton-5256503","Sous vetement coton","1 500 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5256503_uploaded_image1_1743271904.jpg"
"1771104047-80","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/vetements-pour-homme-5263573","Vêtements pour homme","12 500 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5127469_uploaded_image1_1736445621.jpg"
"1771104050-81","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-5276085","Pantalon Kaki","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5525299_uploaded_image1_1757874845.jpg"
"1771104052-82","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5276110","Ensemble homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104058-83","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-homme-5276090","Lacoste homme","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5422133_uploaded_image1_1752479744.jpg"
"1771104060-84","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-homme-5276113","Pantalon homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5525299_uploaded_image1_1757874845.jpg"
"1771104063-85","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/abaya-doubai-5297151","Abaya doubai","25 000 CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5297151_uploaded_image1_1745530268.jpg"
"1771104067-86","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-100-cotton-5276220","T-shirt 100℅ cotton","4 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5276220_uploaded_image1_1744317076.jpg"
"1771104070-87","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-inusex-turquie-roythia-5276217","Ensemble inusex  turquie roythia","8 500 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5276217_uploaded_image1_1744316792.jpg"
"1771104074-88","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/sous-vetement-cotton-100-douzaine-5276271","Sous vetement cotton 100℅ douzaine","12 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5276271_uploaded_image1_1744319968.jpg"
"1771104077-89","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-homme-5277891","Lacoste homme","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5422133_uploaded_image1_1752479744.jpg"
"1771104081-90","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-coton-5277904","Lacoste coton","12 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5422133_uploaded_image1_1752479744.jpg"
